,data_tweets,data_labels
43,"Well said, Jimmy. That's exactly why we fought so hard for the ACA, and why we need to protect it for kids like Billy. And congratulations! ",1.0
44,RT @ObamaFoundation: It’s a beautiful day on the South Side. ,1.0
45,My heart goes out to the victims and their families in London. No act of terror can shake the strength and resilience of our British ally.,1.0
46,"Chuck Berry rolled over everyone who came before him – and turned up everyone who came after.  We'll miss you, Chuck.  Be good.",1.0
47,"On International Women’s Day, @MichelleObama and I are inspired by all of you who embrace your power to drive change. ",1.0
48,RT @ObamaFoundation: Courage comes in many forms. Who in your local community or neighborhood leads by example? #ProfileInCourage ,1.0
49,Humbled to be recognized by a family with a legacy of service. Who's your #ProfileInCourage? Tell me about them: https://t.co/euYRxWcost ,1.0
50,We asked. You answered. ,1.0
51,"Happy Valentine’s Day, @michelleobama! Almost 28 years with you, but it always feels new. ",1.0
52,I read letters like these every single day. It was one of the best parts of the job – hearing from you. ,1.0
53,RT @ObamaFoundation: Add your voice: https://t.co/mA9MSHmi7o ,1.0
54,"In the meantime, I want to hear what you're thinking about the road ahead. So share your ideas with me here: ",1.0
55,"Hi everybody! Back to the original handle. Is this thing still on? Michelle and I are off on a quick vacation, then we’ll get back to work.",1.0
56,"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: ",1.0
57,"RT @OFA: ""Thanks to the Affordable Care Act, your coverage is better today than it was before.""

Watch the weekly address: ",1.0
58,"In the weekly address, President Obama discusses what #Obamacare has done to improve health care. ",1.0
59,"Let's keep working to keep our economy on a better, stronger course. ",1.0
60,The landmark #ParisAgreement enters into force today—we must keep up the momentum to #ActOnClimate. ,1.0
61,"The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. ",1.0
62,There are a lot of plans out there. Check your options and lock in the one that's best for you: ,1.0
63,"The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: ",1.0
64,RT @POTUS: It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before…,1.0
65,Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered ,1.0
66,"Thanks to #Obamacare, quality health care is available to everyone. The marketplace is now open—make sure you and your family #GetCovered. ",1.0
67,RT @lacasablanca: La t?pica Latina tarda 22 meses en ganar lo que un hombre blanco gana en 12 meses. Tenemos que cerrar la brecha salarial.…,1.0
68,"RT @WhiteHouse: On #LatinaEqualPay Day, we mark the work that remains to ensure that all Americans receive equal pay for equal work. ",1.0
69,Community organizing never goes out of style. Shop now: https://t.co/LXEbQdKLLT ,1.0
70,"With #Obamacare, people can focus on treatment for pre-existing conditions without the fear of coverage being capped or denied. #GetCovered ",1.0
71,"The Obamacare marketplace is now open. If you're uninsured, now is the time to shop for a plan and #GetCovered. https://t.co/7mJYFEz4QS ",1.0
72,RT @FLOTUS: Open enrollment starts tomorrow! Check out your options at https://t.co/dg57hwz5of and share your #GetCovered story. ,1.0
73,Lions and Tiggers and bears! Oh my! #HappyHalloween ,1.0
74,Usted y su familia merecen la tranquilidad de saber que est?n cubiertos. El mercado de seguros abre ma?ana. ,1.0
75,"Speak up in support of quality, affordable health care for all. ",1.0
76,There's nothing to be scared of when searching for health insurance. Three in four people can #GetCovered for less than $75 a month. ,1.0
77,Open enrollment begins tomorrow—make sure you and your loved ones #GetCovered. ,1.0
78,"RT @OFA: Witch plan is best for you? Thanks to Obamacare, even pre-existing conditions can't stop you from comparing your options. #GetCove…",1.0
79,Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: ,1.0
80,Senate leaders should put the common good above politics—the integrity of our nation's highest court depends on it. #DoYourJob ,1.0
81,Don't ghost on your health and well-being—your chance to #GetCovered is coming up. Open enrollment starts November 1. ,1.0
82,Climate change is happening now. Denial is dangerous. ,1.0
83,"If you're willing to work hard and play by the rules, you should be able to get ahead. ",1.0
84,President Obama lays out just a few of the ways in which #Obamacare has helped millions of Americans. ,1.0
85,New report: Renewable energy installations are beating fossil fuel installations for the first time. ,1.0
86,Obamacare has helped millions of Americans gain the peace of mind that comes with coverage. Show your support: ,1.0
87,"This is what happens when we focus on building an economy that works for everyone, not just those at the top. ",1.0
88,"No one's too wrapped up in pre-existing conditions to #GetCovered. 
Thanks to Obamacare, you can find a plan that meets your needs. ",1.0
89,Help protect the progress we've made in helping millions of Americans get covered. Add your name now: ,1.0
90,DYK: Most people can find a plan for less than $75 per month. Open enrollment starts on November 1. #GetCovered ,1.0
91,"Women, the sick, survivors—they all deserve fair treatment in our health care system. #Obamacare ",1.0
92,Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/wJZj1QCxXm ,1.0
93,"RT @SecBurwell: Most people shopping on @HealthCareGov will again find plans with premiums of less than $75/month, thanks to financial assi…",1.0
94,Be proud of the progress we've made together—wear the mark of this movement. https://t.co/fYf2O9WAwG ,1.0
95,Strong policies that help working families get ahead are good for our economy. ,1.0
96,The four-week average of jobless claims fell to the lowest level since 1973—a sign of a healthy labor market. ,1.0
97,"Since 2010, America's uninsured rate has been cut in half. Help build on that progress—join Team #Obamacare today: ",1.0
98,"RT @OFA: It's working.
It's saving lives.
And we're not going back.
Retweet to show your support. ",1.0
99,"Health care is a right, not a privilege—and #Obamacare works to protect that right for millions of Americans. ",1.0
100,Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/09BpA6F9Ne ,1.0
101,Being able to stay on a parent's plan enables millions of young adults to make choices about their future with the security of health care. ,1.0
102,"""Because of Obamacare, another 20 million Americans now know the financial security of health insurance."" ",1.0
103,Stand up for the law that's helped 20 million more Americans gain health coverage. Join Team @Obamacare today: ,1.0
104,"There's still more work to do, but let's celebrate how far we've come. ",1.0
105,LIVE: President Obama is in Miami talking about the progress made possible by the Affordable Care Act. ,1.0
106,"RT @WhiteHouse: Each day, @POTUS reads 10 letters from Americans. Today, we're sharing some of the letters written about #ACA: ",1.0
107,Tune in at 1:55 p.m. ET to watch President Obama speak about the successes of the Affordable Care Act. ,1.0
108,There's a lot of misinformation floating around. Make sure you've got the facts—join the @OFA Truth Team: https://t.co/WKXMJCZtF0 ,1.0
109,"From coast to coast, editorial boards are denouncing Senate obstructionism. Take a look: ",1.0
110,"Our Supreme Court has been short a justice for far too long. #DoYourJob, Senate leaders. ",1.0
111,"RT @SecBurwell: Today, 20M more Americans have coverage thanks to the #ACA. Our uninsured rate is the lowest in our nation’s history. Lowes…",1.0
112,The need for a ninth justice is undeniably clear. #DoYourJob ,1.0
113,We can't afford to let this be the new normal. ,1.0
114,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: ,1.0
115,"Climate change is real, but so is the progress we're making to #ActOnClimate. Let's keep it up. ",1.0
116,This is just the latest step forward in the push to #ActOnClimate. ,1.0
117,Read why @FLOTUS is fighting to ensure that girls everywhere have access to quality education. ,1.0
118,"Wildfires in the next few decades could be ""unrecognizable"" to previous generations—because of climate change: ",1.0
119,Senate leaders are blocking the Supreme Court nomination for their own political gain—don't be silent: ,1.0
120,"RT @WhiteHouse: ""Nobody should be priced out of a higher education."" —@POTUS on the progress we've made: https://t.co/4YohVv7Qea ",1.0
121,RT @WHLive: Watch as @POTUS speaks on the progress made to ensure every student has the opportunity to realize their potential: ,1.0
122,Senate leaders have recognized Judge Garland's impeccable credentials in the past. He deserves a fair hearing and an up-or-down vote. ,1.0
123,We need a fully functional Supreme Court. Editorial boards across the country agree: ,1.0
124,The American Bar Association gave Judge Garland its highest rating. Senate leaders: #DoYourJob and fill the #SCOTUS vacancy. ,1.0
125,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: ,1.0
126,"Cynics, take note: When we #ActOnClimate, we build a stronger future. ",1.0
127,"""That’s how we will overcome the challenges we face: by unleashing the power of all of us for all of us."" Read more: ",1.0
128,Check out the most recent editorial boards calling on Senate leaders to vote on Judge Garland: ,1.0
129,"Senate leaders have undercut the functionality of the Supreme Court, and that's unacceptable. #DoYourJob ",1.0
130,Senate leaders' political games are handicapping the Supreme Court—and judgeships across the country. ,1.0
131,"RT @WIRED: After eight years in office, @POTUS remains optimistic about the world's future. His essay as WIRED’s guest editor: ",1.0
132,LIVE: President Obama is speaking at a reception celebrating #HispanicHeritageMonth. ,1.0
133,"RT @WhiteHouse: In honor of #HispanicHeritageMonth, we celebrate the progress that Hispanic Americans have made under @POTUS: ",1.0
134,Support the bold steps we're taking against climate change. Say you're ready to #ActOnClimate: ,1.0
135,"Last week, more than 190 countries reached a landmark deal to reduce carbon pollution from aviation. ",1.0
136,Let's leave our children and grandchildren a planet that's healthier than the one we have today. #ActOnClimate ,1.0
137,Climate change's effects are devastating. Denying the science behind it does nothing to help. ,1.0
138,"""On behalf of Michelle and our family, G’mar Chatimah Tovah."" —President Obama #YomKippur",1.0
139,"""LGBT individuals deserve to know their country stands beside them."" —President Obama #NationalComingOutDay ",1.0
140,The Supreme Court must remain above politics. Judge Garland needs a hearing and a vote. #DoYourJob ,1.0
141,Don't stand idly by while Senate leaders continue to block Judge Garland from a fair hearing and vote: ,1.0
142,"Judge Garland is just as qualified now as he was in 1997, Senate leaders. It's time to #DoYourJob. ",1.0
143,Dispel misinformation with facts from the @OFA Truth Team. ,1.0
144,"The uninsured rate is the lowest it's been in decades, thanks to #Obamacare. Spread the word. https://t.co/cxdbkiOqbq ",1.0
145,Deadline tonight—help rein in payday lenders that succeed by targeting vulnerable Americans: ,1.0
146,The Obama administration and @CFPB are working to protect consumers and #StopTheDebtTrap. ,1.0
147,"Our economy is on a better, stronger course. ",1.0
148,The economic progress we've made is undeniable—let's keep it up. ,1.0
149,Check out President Obama's essay in @TheEconomist on the unique challenges the American economy faces. ,1.0
150,"The economy added 156,000 jobs in September—extending the longest streak of total job growth on record.",1.0
151,ICYMI: Read about the historic #ParisAgreement and what it means for the fight to #ActOnClimate. ,1.0
152,"RT @WhiteHouse: This is #SXSL: The White House festival of ideas, art, and action. Take a peek inside: https://t.co/BbvvMEaQTF ",1.0
153,The cost of clean energy technology dropped significantly over the last eight years. Get the chart: ,1.0
154,This historic step in the fight to #ActOnClimate came faster than anyone predicted. ,1.0
155,"""Today is a historic day in the fight to protect our planet for future generations."" —President Obama #ActOnClimate ",1.0
156,LIVE: President Obama is delivering a statement on the Paris Climate Agreement. ,1.0
157,Read from @NYTopinion about why filling the Supreme Court vacancy is crucial for our democracy: ,1.0
158,Enough is enough. Say it's time for Senate leaders to get to work: ,1.0
159,"""Everybody cares about their kids, their grandkids, and the kind of world we pass on to them."" —President Obama ",1.0
160,Take what matters with you. https://t.co/E0hXWSu1q3 ,1.0
161,"We've come a long way, but the fight for fairness and an economy that works for everyone continues. ",1.0
162,RT @NatGeoChannel: Tonight @POTUS will be joined by @LeoDiCaprio for a conversation on combating climate change: ,1.0
163,Side-by-side for 24 years. Here's to many more. #HappyAnniversary ,1.0
164,"RT @WhiteHouse: Today, @POTUS is bringing something new to the South Lawn. Find out why: ",1.0
165,Facts matter. Stay informed with the @OFA Truth Team: ,1.0
166,"RT @OFA: ""Since I took office, another ten million private-sector workers have gained paid sick leave."" —President Obama ",1.0
167,"In the weekly address, President Obama discusses why access to paid leave is so important. ",1.0
168,Parents shouldn't have to choose between a paycheck and taking care of a sick child at home. #LeadOnLeave ,1.0
169,"After thirty years in Congress, Senator, this should not be your proudest accomplishment. https://t.co/FwGAJsBCoo #DoYourJob ",1.0
170,We need a fully functioning Supreme Court. Speak up if you agree it's time for a hearing and a vote: ,1.0
171,"There has never been a more qualified nominee, Senate leaders. He deserves a fair hearing and a vote. #DoYourJob ",1.0
172,It's the Senate's job to fairly consider Supreme Court nominees. Their refusal to do so is unacceptable: ,1.0
173,"""Everybody gets sick."" Check out what President Obama is doing to extend access to paid sick leave: ",1.0
174,RT @ErnestMoniz: THIS is what a #CleanEnergy revolution looks like. New report out today ? https://t.co/o13p5fPNDg #ActOnClimate ,1.0
175,Never underestimate the strength and resilience of the American economy. ,1.0
176,RT @Slate: President Obama answers Slate’s questions about his administration’s new rule extending paid sick leave: ,1.0
177,The @OFA Truth Team makes it easy to stay informed. Join today: ,1.0
178,"This is no accident—we're making a comeback because together, we've fought hard to support American families. ",1.0
179,We're better off than we were eight years ago. ,1.0
180,"Household incomes are up, and the poverty rate is down across all demographics. ",1.0
181,"As long as Senate leaders keep refusing to do their jobs, @OFA supporters will continue speaking out against their obstruction. #DoYourJob ",1.0
182,Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: ,1.0
183,"Important, tough conversations require solid facts. Get them from the @OFA Truth Team: https://t.co/5YH9zVeayn ",1.0
184,"These are high praises from the American Bar Association—and yet, Senate leaders refuse to even consider Judge Garland. #MerricksMerits ",1.0
185,Senate leaders' unprecedented obstruction of the Supreme Court nomination must end. Your voice matters: ,1.0
186,The American people are waiting for Senate leaders to do their jobs. ,1.0
187,Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: ,1.0
188,"Senate leaders need to work for the good of the American people, not seek out political points. ",1.0
189,Watch President Obama and @CEAChair Jason Furman discuss the positive gains the American economy has made. ,1.0
190,Here are 16 broken records we shouldn't be proud of. ,1.0
191,Stay informed. Stay engaged. Speak up. Join the @OFA Truth Team: ,1.0
192,"Another record broken: 16 months in a row of undeniable, record-breaking heat.
",1.0
193,Happy #FirstDayofFall. ,1.0
194,We can't sit idly by. Climate change is likely to threaten our national security—we must act now. https://t.co/HwnK53B8Zi #ActOnClimate ,1.0
195,Judge Garland is highly qualified for the bench—even some Senate leaders who are now blocking his hearing have agreed. #MerricksMerits ,1.0
196,Senate leaders' blind obstruction of Judge Garland's nomination sets a dangerous precedent. We can't stand idly by. ,1.0
197,"Enough of the shameless partisanship, Senators. #DoYourJob and fill the Supreme Court vacancy. ",1.0
198,Help keep the pressure on Senate leaders to give Judge Garland a fair hearing before their next recess. ,1.0
199,The American Bar Association gave Judge Garland its highest possible rating. He deserves a hearing and a vote. #MerricksMerits ,1.0
200,Thank you Rand! ,0.0
201,New home sales reach a 10 year high. Stock Market has more record gains. Hopefully Republican Senators will give us the much needed Tax Cuts to keep it all going! Democrats want big Tax Increases.,0.0
202,"The Tax Cut Bill is coming along very well, great support. With just a few changes, some mathematical, the middle class and job producers can get even more in actual dollars and savings and the pass through provision becomes simpler and really works well!",0.0
203,"The good news is that their ratings are terrible, nobody cares! ",0.0
204,"We should have a contest as to which of the Networks, plus CNN and not including Fox, is the most dishonest, corrupt and/or distorted in its political coverage of your favorite President (me). They are all bad. Winner to receive the FAKE NEWS TROPHY!",0.0
205,"Back in D.C., big week for Tax Cuts and many other things of great importance to our Country.  Senate Republicans will hopefully come through for all of us. The Tax Cut Bill is getting better and better. The end result will be great for ALL!",0.0
206,"Since the first day I took office, all you hear is the phony Democrat excuse for losing the election, Russia, Russia,Russia.  Despite this I have the economy booming and have possibly done more than any 10 month President. MAKE AMERICA GREAT AGAIN!",0.0
207,I endorsed Luther Strange in the Alabama Primary. He shot way up in the polls but it wasn’t enough. Can’t let Schumer/Pelosi win this race. Liberal Jones would be BAD!,0.0
208,"The last thing we need in Alabama and the U.S. Senate is a Schumer/Pelosi puppet who is WEAK on Crime, WEAK on the Border, Bad for our Military and our great Vets, Bad for our 2nd Amendment, AND WANTS TO RAISES TAXES TO THE SKY. Jones would be a disaster!",0.0
209,"Wow, even I didn’t realize we did so much. Wish the Fake News would report! Thank you. ",0.0
210,".@FoxNews is MUCH more important in the United States than CNN, but outside of the U.S., CNN International is still a major source of (Fake) news, and they represent our Nation to the WORLD very poorly. The outside world does not see the truth from them!",0.0
211,"Check out the recent Editorial in the Wall Street Journal @WSJ about what a complete disaster the @CFPB has been under its leader from previous Administration, who just quit!",0.0
212,"The Consumer Financial Protection Bureau, or CFPB, has been a total disaster as run by the previous Administrations pick. Financial Institutions have been devastated and unable to properly serve the public. We will bring it back to life!",0.0
213,"Happy #SmallBusinessSaturday!

A great day to support your community and America’s JOB creators by shopping locally at a #SmallBiz. #ShopSmall ",0.0
214,"Time Magazine called to say that I was PROBABLY going to be named “Man (Person) of the Year,” like last year, but I would have to agree to an interview and a major photo shoot. I said probably is no good and took a pass. Thanks anyway!",0.0
215,"Will be calling the President of Egypt in a short while to discuss the tragic terrorist attack, with so much loss of life. We have to get TOUGHER AND SMARTER than ever before, and we will. Need the WALL, need the BAN! God bless the people of Egypt.",0.0
216,"Horrible and cowardly terrorist attack on innocent and defenseless worshipers in Egypt. The world cannot tolerate terrorism, we must defeat them militarily and discredit the extremist ideology that forms the basis of their existence!",0.0
217,"After Turkey call I will be heading over to Trump National Golf Club, Jupiter, to play golf (quickly) with Tiger Woods and Dustin Johnson. Then back to Mar-a-Lago for talks on bringing even more jobs and companies back to the USA!",0.0
218,"Will be speaking to President Recep Tayyip Erdogan of Turkey this morning about bringing peace to the mess that I inherited in the Middle East. I will get it all done, but what a mistake, in lives and dollars (6 trillion), to be there in the first place!",0.0
219,"Can you believe that the disrespect for our Country, our Flag, our Anthem continues without penalty to the players. The Commissioner has lost control of the hemorrhaging league. Players are the boss! ",0.0
220,Two great people! ,0.0
221,A great guy (with great ratings)! ,0.0
222,RT @DeptofDefense: #HappyThanksgiving from @USArmy and @USNationalGuard #soldiers serving with Task Force Marauder in #Afghanistan. ? ,0.0
223,"RT @Scavino45: Today, @POTUS @realDonaldTrump and @FLOTUS Melania visit the @USCG at the Lake Worth Inlet Station, in Riviera Beach, Florid…",0.0
224,"ObamaCare premiums are going up, up, up, just as I have been predicting for two years. ObamaCare is OWNED by the Democrats, and it is a disaster. But do not worry. Even though the Dems want to Obstruct, we will Repeal &amp; Replace right after Tax Cuts!",0.0
225,"My great honor to join our incredible men and women of the @USCG, at the Lake Worth Inlet Station, in Riviera Beach, Florida today!
#HappyThanksgiving ",0.0
226,HAPPY THANKSGIVING! ,0.0
227,"Will be doing a live Thanksgiving Video Teleconference with Members of the Military at 9:00 A.M.  Afghanistan, Iraq, USS Monterey, Turkey &amp; Bahrain. Then going to Coast Guard Quarters, Florida.",0.0
228,MAKE AMERICA GREAT AGAIN!,0.0
229,@ThePlumLineGS MAKE AMERICA GREAT AGAIN!,0.0
230,"HAPPY THANKSGIVING, your Country is starting to do really well. Jobs coming back, highest Stock Market EVER, Military getting really strong, we will build the WALL, V.A. taking care of our Vets, great Supreme Court Justice, RECORD CUT IN REGS, lowest unemployment in 17 years....!",0.0
231,....And it will get even better with Tax Cuts! ,0.0
232,I have long given the order to help Argentina with the Search and Rescue mission of their missing submarine. 45 people aboard and not much time left. May God be with them and the people of Argentina!,0.0
233,51 Million American to travel this weekend - highest number in twelve years (AAA). Traffic and airports are running very smoothly!  @FoxNews,0.0
234,RT @FLOTUS: Preparations are underway to celebrate the holidays at the @WhiteHouse! ,0.0
235,The @USNavy is conducting search and rescue following aircraft crash. We are monitoring the situation. Prayers for all involved. ,0.0
236,Will be having meetings and working the phones from the Winter White House in Florida (Mar-a-Lago). Stock Market hit new Record High yesterday - $5.5 trillion gain since E. Many companies coming back to the U.S. Military building up and getting very strong.,0.0
237,"RT @IngrahamAngle: “Far right”? You mean “right so far,” as in @realDonaldTrump has been right so far abt how to kick the economy into high…",0.0
238,"RT @Realjmannarino: @realDonaldTrump The ungratefulness is something I’ve never seen before. If you get someone’s son out of prison, he sho…",0.0
239,The NFL is now thinking about a new idea - keeping teams in the Locker Room during the National Anthem next season. That’s almost as bad as kneeling! When will the highly paid Commissioner finally get tough and smart? This issue is killing your league!.....,0.0
240,"...LaVar, you could have spent the next 5 to 10 years during Thanksgiving with your son in China, but no NBA contract to support you. But remember LaVar, shoplifting is NOT a little thing. It’s a really big deal, especially in China. Ungrateful fool!",0.0
241,"It wasn’t the White House, it wasn’t the State Department, it wasn’t father LaVar’s so-called people on the ground in China that got his son out of a long term prison sentence - IT WAS ME. Too bad! LaVar is just a poor man’s version of Don King, but without the hair. Just think..",0.0
242,"Today, we continued a wonderful American Tradition at the White House. Drumstick and Wishbone will live out their days in the beautiful Blue Ridge Mountains at Gobbler’s Rest... ",0.0
243,President Donald J. Trump and @FLOTUS Melania Participate in the Pardoning of the National Thanksgiving Turkey at the White House. ,0.0
244,Under President Trump unemployment rate will drop below 4%.  Analysts predict economic boom for 2018!  @foxandfriends and @Varneyco,0.0
245,Marshawn Lynch of the NFL’s Oakland Raiders stands for the Mexican Anthem and sits down to boos for our National Anthem. Great disrespect! Next time NFL should suspend him for remainder of season. Attendance and ratings way down.,0.0
246,Republican Senators are working very hard to get Tax Cuts and Tax Reform approved. Hopefully it will not be long and they do not want to disappoint the American public!,0.0
247,"Border Patrol Officer killed at Southern Border, another badly hurt. We will seek out and bring to justice those responsible. We will, and must, build the Wall!",0.0
248,Big-game trophy decision will be announced next week but will be very hard pressed to change my mind that this horror show in any way helps conservation of Elephants or any other animal.,0.0
249,"Shoplifting is a very big deal in China, as it should be (5-10 years in jail), but not to father LaVar. Should have gotten his son out during my next trip to China instead. China told them why they were released. Very ungrateful!",0.0
250,"Sen. Jeff Flake(y), who is unelectable in the Great State of Arizona (quit race, anemic polls) was caught (purposely) on “mike” saying bad things about your favorite President. He’ll be a NO on tax cuts because his political career anyway is “toast.”",0.0
251,"Now that the three basketball players are out of China and saved from years in jail, LaVar Ball, the father of LiAngelo, is unaccepting of what I did for his son and that shoplifting is no big deal. I should have left them in jail!",0.0
252,RT @greta: Thank you @realDonaldTrump - this is important to so many of us ,0.0
253,"RT @piersmorgan: BOOM! Thank you, Mr President. Trophy-hunting is repellent. ",0.0
254,"Crooked Hillary Clinton is the worst (and biggest) loser of all time. She just can’t stop, which is so good for the Republican Party. Hillary, get on with your life and give it another try in three years!",0.0
255,Put big game trophy decision on hold until such time as I review all conservation facts. Under study for years. Will update soon with Secretary Zinke. Thank you!,0.0
256,"Today, it was an honor to celebrate the Collegiate National Champions of 2016/2017 at the @WhiteHouse! 
#NCAAChampions?Photos: https://t.co/Ecl2phhzyl ",0.0
257,"Together, we're going to restore safety to our streets and peace to our communities, and we're going to destroy the vile criminal cartel, #MS13, and many other gangs...

'Hundreds arrested in MS-13 crackdown'
https://t.co/Mp268d8RaU ",0.0
258,"If Democrats were not such obstructionists and understood the power of lower taxes, we would be able to get many of their ideas into Bill!",0.0
259,"Great numbers on Stocks and the Economy. If we get Tax Cuts and Reform, we'll really see some great results!",0.0
260,.And to think that just last week he was lecturing anyone who would listen about sexual harassment and respect for women. Lesley Stahl tape?,0.0
261,"The Al Frankenstien picture is really bad, speaks a thousand words. Where do his hands go in pictures 2, 3, 4, 5 &amp; 6 while she sleeps? .....",0.0
262,"Big win today in the House for GOP Tax Cuts and Reform, 227-205. Zero Dems, they want to raise taxes much higher, but not for our military!",0.0
263,Congratulations to the House of Representatives for passing the #TaxCutsandJobsAct — a big step toward fulfilling our promise to deliver historic TAX CUTS for the American people by the end of the year! ,0.0
264,Need all on the UN Security Council to vote to renew the Joint Investigative Mechanism for Syria to ensure that Assad Regime does not commit mass murder with chemical weapons ever again.,0.0
265,"China is sending an Envoy and Delegation to North Korea - A big move, we'll see what happens!",0.0
266,"....your release possible and, HAVE A GREAT LIFE! Be careful, there are many pitfalls on the long and winding road of life!",0.0
267,"To the three UCLA basketball players I say:  You're welcome, go out and give a big Thank You to President Xi Jinping of China who made.....",0.0
